epoch,alpha_used,island_id,n,y_mix_mean,delta_sun_mean,delta_plant_mean,delta_sun_std,delta_plant_std
0,0.5,0,343,0.6679152846336365,0.003991717007011175,0.6679152846336365,0.0022303364239633083,0.0022899822797626257
0,0.5,1,169,0.0,0.0,0.0,0.0,0.0
200,0.5,0,197,0.9890250563621521,0.3654820919036865,0.9890250563621521,0.017577001824975014,0.018769433721899986
200,0.5,1,89,0.0,0.0,0.0,0.0,0.0
200,0.5,2,146,0.7931045293807983,0.16909795999526978,0.7931045293807983,0.10442735999822617,0.10642962157726288
200,0.5,3,80,0.0,0.0,0.0,0.0,0.0
400,0.6506921322605905,0,283,0.6872659921646118,0.3465639352798462,0.6872659921646118,0.2125784158706665,0.41811472177505493
400,0.6506921322605905,2,229,0.4681151211261749,0.19010238349437714,0.4681151211261749,0.19697414338588715,0.4062363803386688
600,0.4843661621604351,0,285,0.6990577578544617,0.3418114185333252,0.6990577578544617,0.21158906817436218,0.4306566119194031
600,0.4843661621604351,1,227,0.48447778820991516,0.18749268352985382,0.48447778820991516,0.1788073480129242,0.4088723957538605
800,0.4642430519477195,0,285,0.6882570385932922,0.3431606888771057,0.6882570385932922,0.21179243922233582,0.42374759912490845
800,0.4642430519477195,1,227,0.4739764928817749,0.18811796605587006,0.4739764928817749,0.17592908442020416,0.398937851190567
1000,0.43261454473431205,0,284,0.6944408416748047,0.34110087156295776,0.6944408416748047,0.2108081728219986,0.4284467399120331
1000,0.43261454473431205,1,228,0.48234254121780396,0.18851403892040253,0.48234254121780396,0.17385920882225037,0.4036308825016022
1200,0.4408634600465246,0,285,0.7127493023872375,0.37166160345077515,0.7127493023872375,0.2303442806005478,0.43944627046585083
1200,0.4408634600465246,1,227,0.4774806499481201,0.1951475590467453,0.4774806499481201,0.1795213222503662,0.4013957977294922
1400,0.4653617252422586,0,285,0.7085402607917786,0.3821276128292084,0.7085402607917786,0.2361186295747757,0.4364854693412781
1400,0.4653617252422586,1,227,0.48685523867607117,0.2166360467672348,0.48685523867607117,0.19751033186912537,0.4101375341415405
1600,0.4723845873909322,0,287,0.7238242030143738,0.4033435583114624,0.7238242030143738,0.2503467798233032,0.4477970600128174
1600,0.4723845873909322,1,225,0.4919072687625885,0.22572235763072968,0.4919072687625885,0.20558761060237885,0.4145543873310089
1800,0.4273786944022597,0,288,0.6961174607276917,0.3635578751564026,0.6961174607276917,0.22745515406131744,0.43348145484924316
1800,0.4273786944022597,1,224,0.48190373182296753,0.20372982323169708,0.48190373182296753,0.18392638862133026,0.4021267294883728
2000,0.48890370773720443,0,288,0.7034332752227783,0.3999340236186981,0.7034332752227783,0.2500459849834442,0.4379679262638092
2000,0.48890370773720443,1,224,0.4804113805294037,0.22649216651916504,0.4804113805294037,0.20406970381736755,0.4029151499271393
