feature,importance_mean,importance_std
plant_mean,0.01223170642243064,0.0017232113593138548
y_stat_mean,0.007845775706009271,0.0013404574228381202
y_mix_std,0.006589178979707372,0.0015899207447688693
water_mean,0.0064047061757888735,0.0011271262857804876
sun_minus_water_mean,0.00602897484266488,0.0013133033400485462
sun_mean,0.005980687083163742,0.0013023943233005204
sun_plus_water_mean,0.005925138444797773,0.001288793510555795
attn_mass_6,0.00587836297810699,0.0015632772936421265
plant_std,0.0055714020057397486,0.0013811460278318095
sun_std,0.005108845686212464,0.0010361499936012296
delta_sun_mean,0.004767583666351019,0.0009641791566335792
delta_plant_mean,0.004343183310694841,0.000843445210152558
y_mix_mean,0.004343183310694798,0.0008434452101525507
plant_is_zero,0.004147699094881256,0.0008527365612071185
delta_ratio_sun_over_plant,0.0023265006341188156,0.0005008176350363304
attn_mass_3_5,0.0017711685313187215,0.0004887673355002136
attn_mass_0_2,0.0012213996988615224,0.00039428108847136274
y_sem_mean,0.001034440075046007,0.0003087824380181947
water_std,0.0004670601955529365,0.00021759263115913078
