epoch,island,n,y_mix_mean,y_mix_std,corr_y_mix_true,y_stat_mean,y_sem_mean,delta_sun_mean,delta_plant_mean,delta_ratio_sun_over_plant,attn_mean_0,attn_mean_1,attn_mean_2,attn_mean_3,attn_mean_4,attn_mean_5,attn_mean_6,attn_mass_0_2,attn_mass_3_5,attn_mass_6
0,0,343,0.6679152846336365,0.0022899822797626257,0.6890279650688171,0.7905088663101196,0.5453217029571533,0.003991717007011175,0.6679152846336365,0.005976382093781373,0.14434899389743805,0.14384686946868896,0.14385493099689484,0.14255109429359436,0.14348295331001282,0.1396496444940567,0.14226561784744263,0.43205076456069946,0.4256836771965027,0.14226561784744263
0,1,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14345280826091766,0.1439322531223297,0.1439507007598877,0.14286133646965027,0.14259150624275208,0.14086440205574036,0.14234709739685059,0.4313357472419739,0.4263172447681427,0.14234709739685059
200,0,285,0.6804510354995728,0.4587669372558594,0.9953948855400085,0.6336840391159058,0.7272180318832397,0.25151968002319336,0.6804510354995728,0.36963670154776956,0.1721101552248001,0.17281363904476166,0.1694597750902176,0.10461673140525818,0.24542373418807983,0.10204747319221497,0.033528391271829605,0.5143835544586182,0.452087938785553,0.033528391271829605
200,1,227,0.5141086578369141,0.38882574439048767,0.9615703821182251,0.6611549258232117,0.3670622706413269,0.11015485227108002,0.5141086578369141,0.21426375232020678,0.1280648112297058,0.12368044257164001,0.1268680989742279,0.20755138993263245,0.18253184854984283,0.2061505913734436,0.02515282854437828,0.37861335277557373,0.5962338447570801,0.02515282854437828
400,0,282,0.689703106880188,0.41684404015541077,0.994712233543396,0.6594482064247131,0.7059447169303894,0.3477928638458252,0.689703106880188,0.5042645963658043,0.14894698560237885,0.14842596650123596,0.14367632567882538,0.11202280223369598,0.2985933721065521,0.11564284563064575,0.03269165754318237,0.4410492777824402,0.5262590050697327,0.03269165754318237
400,1,230,0.46607983112335205,0.40652066469192505,0.969219982624054,0.6188676357269287,0.38405948877334595,0.189275860786438,0.46607983112335205,0.40610179648671935,0.11997677385807037,0.11392335593700409,0.11868620663881302,0.2368757426738739,0.16343849897384644,0.22041821479797363,0.026681257411837578,0.3525863289833069,0.6207324266433716,0.026681257411837578
600,0,282,0.7064945101737976,0.42683032155036926,0.9947822690010071,0.6777320504188538,0.7371137142181396,0.34544768929481506,0.7064945101737976,0.48896018218207116,0.13621684908866882,0.13554322719573975,0.12958642840385437,0.11131025850772858,0.3404097557067871,0.11515171080827713,0.031781673431396484,0.40134650468826294,0.566871702671051,0.031781673431396484
600,1,230,0.47815850377082825,0.40989959239959717,0.9770070314407349,0.5188716053962708,0.4348173141479492,0.18504714965820312,0.47815850377082825,0.3869995918276016,0.12263966351747513,0.11503429710865021,0.12111494690179825,0.2242354452610016,0.17612400650978088,0.212851881980896,0.027999723330140114,0.3587889075279236,0.6132113337516785,0.027999723330140114
800,0,287,0.6919666528701782,0.420492023229599,0.9944244027137756,0.6861445903778076,0.6986856460571289,0.34476223587989807,0.6919666528701782,0.4982353260341674,0.12428844720125198,0.1233208179473877,0.11659593135118484,0.12514716386795044,0.35397082567214966,0.12575627863407135,0.03092057630419731,0.36420518159866333,0.6048742532730103,0.03092057630419731
800,1,225,0.4673398733139038,0.39997270703315735,0.9775614142417908,0.5034759640693665,0.42563727498054504,0.18469691276550293,0.4673398733139038,0.3952089675202091,0.12296880781650543,0.1131424680352211,0.12096522003412247,0.2252459079027176,0.18531367182731628,0.20315960049629211,0.029204148799180984,0.357076495885849,0.6137192249298096,0.029204148799180984
1000,0,285,0.6978352665901184,0.4258548319339752,0.9943841099739075,0.6880322098731995,0.7106924057006836,0.3426830768585205,0.6978352665901184,0.4910658551585367,0.11514019966125488,0.11405321210622787,0.10707589983940125,0.13266748189926147,0.36127832531929016,0.13983485102653503,0.02995016612112522,0.3362693190574646,0.6337806582450867,0.02995016612112522
1000,1,227,0.4771464765071869,0.40442490577697754,0.9788258075714111,0.4983401596546173,0.44935035705566406,0.1858554184436798,0.4771464765071869,0.389514381221123,0.12240719795227051,0.11059239506721497,0.11973917484283447,0.2188865840435028,0.197184219956398,0.2015380561351776,0.029652545228600502,0.35273876786231995,0.617608904838562,0.029652545228600502
1200,0,284,0.7119352221488953,0.4400046765804291,0.9939391613006592,0.6884172558784485,0.7417623996734619,0.3713887929916382,0.7119352221488953,0.52166092675403,0.1089354082942009,0.10783658921718597,0.10115940868854523,0.13953818380832672,0.36415019631385803,0.14864397048950195,0.02973618358373642,0.3179314136505127,0.6523323655128479,0.02973618358373642
1200,1,228,0.4795265793800354,0.4016990065574646,0.9792758822441101,0.4995131194591522,0.4541780650615692,0.19626152515411377,0.4795265793800354,0.40928184067510004,0.12283895164728165,0.10930231958627701,0.11937404423952103,0.2149801105260849,0.20650196075439453,0.19648337364196777,0.030519161373376846,0.3515153229236603,0.6179654598236084,0.030519161373376846
1400,0,284,0.7076829671859741,0.4370136559009552,0.994377613067627,0.6886030435562134,0.7296032309532166,0.3817913830280304,0.7076829671859741,0.5394949367670013,0.10720711946487427,0.1059432402253151,0.09921052306890488,0.14471986889839172,0.358015239238739,0.15550018846988678,0.029403844848275185,0.31236088275909424,0.6582353115081787,0.029403844848275185
1400,1,228,0.48889538645744324,0.41038984060287476,0.9802576899528503,0.5006236433982849,0.47542110085487366,0.2177806794643402,0.48889538645744324,0.44545455130563355,0.12192709743976593,0.10670976340770721,0.11790288239717484,0.21151918172836304,0.21291379630565643,0.19850347936153412,0.030523721128702164,0.3465397357940674,0.622936487197876,0.030523721128702164
1600,0,287,0.7204950451850891,0.44961056113243103,0.9941638112068176,0.6855952739715576,0.7594751119613647,0.4016074538230896,0.7204950451850891,0.557404871737697,0.10545819997787476,0.10419047623872757,0.09784092009067535,0.15107913315296173,0.3499990999698639,0.16208501160144806,0.029347194358706474,0.3074895739555359,0.6631632447242737,0.029347194358706474
1600,1,225,0.4961537718772888,0.41438743472099304,0.9816661477088928,0.501598060131073,0.49007299542427063,0.2279367744922638,0.4961537718772888,0.4594075119811104,0.1192491352558136,0.10287320613861084,0.11458177864551544,0.20685002207756042,0.22253945469856262,0.20316030085086823,0.03074612282216549,0.3367041349411011,0.6325497627258301,0.03074612282216549
1800,0,286,0.6945371031761169,0.434580534696579,0.9941995739936829,0.6858335733413696,0.7061983942985535,0.3629955053329468,0.6945371031761169,0.5226437845386965,0.104263536632061,0.10304982215166092,0.09688984602689743,0.15814368426799774,0.340580016374588,0.16769030690193176,0.029382621869444847,0.30420321226119995,0.6664140224456787,0.029382621869444847
1800,1,226,0.4857994019985199,0.40246114134788513,0.9813489317893982,0.49779579043388367,0.46972620487213135,0.20585592091083527,0.4857994019985199,0.4237467477862292,0.11655956506729126,0.09918501228094101,0.11132553219795227,0.20135751366615295,0.23202167451381683,0.20842579007148743,0.031124979257583618,0.32707011699676514,0.6418049335479736,0.031124979257583618
2000,0,286,0.7018657326698303,0.43909355998039246,0.9943708777427673,0.6855237483978271,0.718949556350708,0.3993052542209625,0.7018657326698303,0.568919709205415,0.10375471413135529,0.10253733396530151,0.0964965745806694,0.16396388411521912,0.33332180976867676,0.1706666499376297,0.029258955270051956,0.3027886152267456,0.6679523587226868,0.029258955270051956
2000,1,226,0.48436880111694336,0.40330925583839417,0.983488142490387,0.5019494295120239,0.4659901559352875,0.2288227528333664,0.48436880111694336,0.4724142999746544,0.11513087153434753,0.09675463289022446,0.10924746841192245,0.19738054275512695,0.2388574481010437,0.2113795280456543,0.03124941512942314,0.32113298773765564,0.647617518901825,0.03124941512942314
