target,feature_set,model,r2_oof,mae_oof,n_rows,n_epochs,n_features_raw
err_abs_mean,no_island,rf,-0.012743082189567545,0.015075441183907705,22,11,19
err_abs_mean,with_island,rf,-0.025366701966518912,0.015381835474073196,22,11,20
err_abs_mean,with_island,ridge,-2.7182860391763035,0.027733424555754175,22,11,20
err_abs_mean,no_island,ridge,-2.790411388594109,0.027995471516358495,22,11,19
err_abs_p90,no_island,rf,0.14661017989527247,0.02476956100788975,22,11,19
err_abs_p90,with_island,rf,0.11379472400968538,0.025376199108903975,22,11,20
err_abs_p90,with_island,ridge,-7.3055359725954645,0.06109623042842365,22,11,20
err_abs_p90,no_island,ridge,-7.518408636189639,0.06183828421707226,22,11,19
err_signed_mean,no_island,rf,0.02608081486963809,0.017463890183804426,22,11,19
err_signed_mean,with_island,rf,0.02312576032052749,0.017579621051394902,22,11,20
err_signed_mean,with_island,ridge,-2.6287633757896196,0.03478751907608047,22,11,20
err_signed_mean,no_island,ridge,-2.739309972982948,0.035342425394231866,22,11,19
