feature,corr_with_delta_threshold
delta_d_self_0,-0.9885859664236671
delta_d_self_all,-0.9882428611903815
delta_d_self_1,-0.9873752555967361
delta_plant_std_island1,0.9836766308840121
delta_plant_mean_island1,-0.9817040785974653
delta_plant_mean_diff_0_minus_1,0.9787238198043182
delta_plant_std_diff_0_minus_1,-0.9770472290543034
delta_plant_mean_island0,0.9739413752494743
delta_plant_std_island0,-0.9720642186931095
delta_dM_all,-0.969483654810373
delta_sun_mean_diff_0_minus_1,-0.9652522789628878
delta_d_att_0,-0.9618817726182624
delta_d_cf_1,-0.9593513981586004
delta_dC_all,-0.9585766722297268
delta_d_cf_all,-0.954836160774053
delta_d_cf_0,-0.9511345738311214
delta_d_att_1,-0.9479622243234077
delta_epsilon_1,-0.9466429322956454
delta_delta_ratio_sun_over_plant_island1,0.932163312741483
delta_epsilon_all,-0.9257135395273648
delta_water_mean_island1,0.9137865539585706
delta_y_mix_mean_diff_0_minus_1,0.9127953872700892
delta_delta_plant_mean_diff_0_minus_1,0.9127953872700892
delta_delta_plant_mean_island1,-0.9113274385529084
delta_y_mix_mean_island1,-0.9113274385529084
delta_water_mean_diff_0_minus_1,-0.9112937695278647
delta_water_mean_island0,-0.9077588012815841
delta_y_mix_std_diff_0_minus_1,-0.9017228454518923
delta_delta_ratio_sun_over_plant_diff_0_minus_1,-0.8957366620947962
delta_delta_ratio_sun_over_plant_island0,0.8942325854972311
delta_water_std_island1,-0.8927186496029798
delta_water_std_diff_0_minus_1,0.8894797030475686
delta_water_std_island0,0.8839321877802613
delta_delta_sun_mean_island1,0.8827945700888148
delta_err_abs_mean_diff_0_minus_1,0.8777913164978446
delta_epsilon_0,-0.839718652874111
delta_delta_sun_mean_island0,0.8358298423920892
delta_sun_std_island1,0.824451445976992
delta_attn_mass_0_2_island1,-0.8241584381280035
delta_y_mix_std_island0,-0.8229234337630636
delta_attn_mass_0_2_island0,-0.7945204886438648
delta_attn_mass_3_5_island1,0.7896318438877484
delta_attn_mass_3_5_island0,0.7893954570182359
delta_y_stat_mean_island0,0.7468696088438945
delta_d_att_all,-0.7056155553387482
delta_corr_y_mix_true_island0,-0.689728115897623
delta_err_signed_mean_diff_0_minus_1,-0.67847469653231
delta_err_abs_mean_island1,-0.6567389046477098
delta_corr_y_mix_true_diff_0_minus_1,-0.6542823279744798
delta_sun_std_island0,0.6326797974188811
delta_y_mix_std_island1,0.6185258877871023
delta_sun_mean_island1,0.6158777987225591
delta_err_signed_mean_island0,-0.6081214509161533
delta_corr_y_mix_true_island1,0.5992413677654044
delta_attn_mass_6_island1,0.5990265276754237
delta_attn_mass_6_diff_0_minus_1,-0.5300444232147963
delta_attn_mass_3_5_diff_0_minus_1,0.5289109182570452
delta_attn_mass_0_2_diff_0_minus_1,-0.5287266964796382
delta_err_abs_mean_island0,0.497252212784394
delta_sun_std_diff_0_minus_1,-0.49390785654115793
delta_delta_sun_mean_diff_0_minus_1,0.486127077840658
delta_y_stat_mean_diff_0_minus_1,0.36456360225100126
delta_y_sem_mean_diff_0_minus_1,-0.3545568877562766
delta_attn_mass_6_island0,-0.33184734362394025
delta_y_sem_mean_island0,-0.24319241341273695
delta_y_stat_mean_island1,-0.236368625462933
delta_delta_plant_mean_island0,0.17666097173853418
delta_y_mix_mean_island0,0.17666097173853418
delta_err_signed_mean_island1,-0.10102867547324271
delta_err_abs_p90_island0,0.06335138509796322
delta_y_sem_mean_island1,0.052926831929771725
delta_err_abs_p90_island1,0.040205156507807795
delta_sun_mean_island0,-0.005740776505598231
delta_err_abs_p90_diff_0_minus_1,0.005070396019128648
