,pre_mean,post_mean,post_minus_pre
alpha_used_pt,0.5961729303293124,0.5117192021543928,-0.08445372817491958
I_PC1_mean,-0.10605395212769508,0.10605237074196339,0.21210632286965847
I_PC2_mean,-0.15195581410080194,0.15195579826831818,0.3039116123691201
I_PC1_var,10.68517017364502,10.31883430480957,-0.3663358688354492
I_PC2_var,0.7351289391517639,0.712818056344986,-0.022310882806777954
EVR_in_epoch_PC1,0.9197770655155182,0.9159396290779114,-0.0038374364376068115
EVR_in_epoch_PC2,0.06328779831528664,0.06327472627162933,-1.3072043657302856e-05
eff_rank_I,78.2016514656613,77.32113141091051,-0.8805200547507894
slot1_norm_mean,5.298991680145264,5.235876560211182,-0.06311511993408203
slot2_norm_mean,5.39998984336853,5.359133720397949,-0.040856122970581055
slot3_norm_mean,4.23429012298584,4.804314374923706,0.5700242519378662
slot1_norm_std,0.5508825480937958,0.5864652991294861,0.03558275103569031
slot2_norm_std,0.471290722489357,0.43116720020771027,-0.04012352228164673
slot3_norm_std,0.33665959537029266,0.4165303707122803,0.07987077534198761
