epoch,feature,threshold,left_rule,right_rule,left_class,right_class,accuracy,n_rows,val_island0,val_island1
0,err_abs_mean,0.46741193532943726,err_abs_mean <= 0.467412 -> class 0,err_abs_mean >  0.467412 -> class 1,0,1,1.0,2,0.2742508058535292,0.6605730823734227
200,err_abs_mean,0.15693724900484085,err_abs_mean <= 0.156937 -> class 0,err_abs_mean >  0.156937 -> class 1,0,1,1.0,2,0.13475403395739,0.1791204654556863
400,err_abs_mean,0.09012776147574186,err_abs_mean <= 0.0901278 -> class 1,err_abs_mean >  0.0901278 -> class 0,1,0,1.0,2,0.1577788473087105,0.0224766793441684
600,err_abs_mean,0.10450165346264839,err_abs_mean <= 0.104502 -> class 1,err_abs_mean >  0.104502 -> class 0,1,0,1.0,2,0.1089330556148544,0.1000702555346138
800,err_abs_mean,0.06693264096975327,err_abs_mean <= 0.0669326 -> class 1,err_abs_mean >  0.0669326 -> class 0,1,0,1.0,2,0.0693914357652055,0.0644738448728971
1000,err_abs_mean,0.05547724664211273,err_abs_mean <= 0.0554772 -> class 1,err_abs_mean >  0.0554772 -> class 0,1,0,1.0,2,0.0685442254898396,0.0424102704889853
1200,err_abs_mean,0.05240093544125557,err_abs_mean <= 0.0524009 -> class 1,err_abs_mean >  0.0524009 -> class 0,1,0,1.0,2,0.0709639344602189,0.0338379377225304
1400,err_abs_mean,0.050199031829833984,err_abs_mean <= 0.050199 -> class 1,err_abs_mean >  0.050199 -> class 0,1,0,1.0,2,0.0710139522685649,0.0293841130778138
1600,err_abs_mean,0.048312206752598286,err_abs_mean <= 0.0483122 -> class 1,err_abs_mean >  0.0483122 -> class 0,1,0,1.0,2,0.0688608796038526,0.0277635327862192
1800,err_abs_mean,0.0434308210387826,err_abs_mean <= 0.0434308 -> class 1,err_abs_mean >  0.0434308 -> class 0,1,0,1.0,2,0.0634482644022779,0.0234133764854906
2000,err_abs_mean,0.04246707819402218,err_abs_mean <= 0.0424671 -> class 1,err_abs_mean >  0.0424671 -> class 0,1,0,1.0,2,0.0627711974084377,0.022162962345379
