sample,dwell_max_steps,dwell_mean_steps
0,11,11.0
1,11,11.0
2,11,11.0
3,11,11.0
4,11,11.0
5,11,11.0
6,11,11.0
7,11,11.0
8,11,11.0
9,11,11.0
10,11,11.0
11,11,11.0
12,11,11.0
13,11,11.0
14,11,11.0
15,11,11.0
16,11,11.0
17,11,11.0
18,11,11.0
19,11,11.0
20,11,11.0
21,11,11.0
22,11,11.0
23,11,11.0
24,11,11.0
25,11,11.0
26,11,11.0
27,11,11.0
28,11,11.0
29,11,11.0
30,11,11.0
31,11,11.0
32,11,11.0
33,11,11.0
34,11,11.0
35,11,11.0
36,11,11.0
37,11,11.0
38,11,11.0
39,11,11.0
40,11,11.0
41,11,11.0
42,11,11.0
43,11,11.0
44,11,11.0
45,11,11.0
46,11,11.0
47,11,11.0
48,11,11.0
49,11,11.0
50,11,11.0
51,11,11.0
52,11,11.0
53,11,11.0
54,11,11.0
55,11,11.0
56,11,11.0
57,11,11.0
58,11,11.0
59,11,11.0
60,11,11.0
61,11,11.0
62,11,11.0
63,11,11.0
64,11,11.0
65,11,11.0
66,11,11.0
67,11,11.0
68,11,11.0
69,11,11.0
70,11,11.0
71,11,11.0
72,11,11.0
73,11,11.0
74,11,11.0
75,11,11.0
76,11,11.0
77,11,11.0
78,11,11.0
79,11,11.0
80,11,11.0
81,11,11.0
82,11,11.0
83,11,11.0
84,11,11.0
85,11,11.0
86,11,11.0
87,11,11.0
88,11,11.0
89,11,11.0
90,11,11.0
91,11,11.0
92,11,11.0
93,11,11.0
94,11,11.0
95,11,11.0
96,11,11.0
97,11,11.0
98,11,11.0
99,11,11.0
100,11,11.0
101,11,11.0
102,11,11.0
103,11,11.0
104,11,11.0
105,11,11.0
106,11,11.0
107,11,11.0
108,11,11.0
109,11,11.0
110,11,11.0
111,11,11.0
112,11,11.0
113,11,11.0
114,11,11.0
115,11,11.0
116,11,11.0
117,11,11.0
118,11,11.0
119,11,11.0
120,11,11.0
121,11,11.0
122,11,11.0
123,11,11.0
124,11,11.0
125,11,11.0
126,11,11.0
127,11,11.0
128,11,11.0
129,11,11.0
130,11,11.0
131,11,11.0
132,11,11.0
133,11,11.0
134,11,11.0
135,11,11.0
136,11,11.0
137,11,11.0
138,11,11.0
139,11,11.0
140,11,11.0
141,11,11.0
142,11,11.0
143,11,11.0
144,11,11.0
145,11,11.0
146,11,11.0
147,11,11.0
148,11,11.0
149,11,11.0
150,11,11.0
151,11,11.0
152,11,11.0
153,11,11.0
154,11,11.0
155,11,11.0
156,11,11.0
157,11,11.0
158,11,11.0
159,11,11.0
160,11,11.0
161,11,11.0
162,11,11.0
163,11,11.0
164,11,11.0
165,11,11.0
166,11,11.0
167,11,11.0
168,11,11.0
169,11,11.0
170,11,11.0
171,11,11.0
172,11,11.0
173,11,11.0
174,11,11.0
175,11,11.0
176,11,11.0
177,11,11.0
178,11,11.0
179,11,11.0
180,11,11.0
181,11,11.0
182,11,11.0
183,11,11.0
184,11,11.0
185,11,11.0
186,11,11.0
187,11,11.0
188,11,11.0
189,11,11.0
190,11,11.0
191,11,11.0
192,11,11.0
193,11,11.0
194,11,11.0
195,11,11.0
196,11,11.0
197,11,11.0
198,11,11.0
199,11,11.0
200,11,11.0
201,11,11.0
202,11,11.0
203,11,11.0
204,11,11.0
205,11,11.0
206,11,11.0
207,11,11.0
208,11,11.0
209,11,11.0
210,11,11.0
211,11,11.0
212,11,11.0
213,11,11.0
214,11,11.0
215,11,11.0
216,11,11.0
217,11,11.0
218,11,11.0
219,11,11.0
220,11,11.0
221,11,11.0
222,11,11.0
223,11,11.0
224,11,11.0
225,11,11.0
226,11,11.0
227,11,11.0
228,11,11.0
229,11,11.0
230,11,11.0
231,11,11.0
232,11,11.0
233,11,11.0
234,11,11.0
235,11,11.0
236,11,11.0
237,11,11.0
238,11,11.0
239,11,11.0
240,11,11.0
241,11,11.0
242,11,11.0
243,11,11.0
244,11,11.0
245,11,11.0
246,11,11.0
247,11,11.0
248,11,11.0
249,11,11.0
250,11,11.0
251,11,11.0
252,11,11.0
253,11,11.0
254,11,11.0
255,11,11.0
256,11,11.0
257,11,11.0
258,11,11.0
259,11,11.0
260,11,11.0
261,11,11.0
262,11,11.0
263,11,11.0
264,11,11.0
265,11,11.0
266,11,11.0
267,11,11.0
268,11,11.0
269,11,11.0
270,11,11.0
271,11,11.0
272,11,11.0
273,11,11.0
274,11,11.0
275,11,11.0
276,11,11.0
277,11,11.0
278,11,11.0
279,11,11.0
280,11,11.0
281,11,11.0
282,11,11.0
283,11,11.0
284,11,11.0
285,11,11.0
286,11,11.0
287,11,11.0
288,11,11.0
289,11,11.0
290,11,11.0
291,11,11.0
292,11,11.0
293,11,11.0
294,11,11.0
295,11,11.0
296,11,11.0
297,11,11.0
298,11,11.0
299,11,11.0
300,11,11.0
301,11,11.0
302,11,11.0
303,11,11.0
304,11,11.0
305,11,11.0
306,11,11.0
307,11,11.0
308,11,11.0
309,11,11.0
310,11,11.0
311,11,11.0
312,11,11.0
313,11,11.0
314,11,11.0
315,11,11.0
316,11,11.0
317,11,11.0
318,11,11.0
319,11,11.0
320,11,11.0
321,11,11.0
322,11,11.0
323,11,11.0
324,11,11.0
325,11,11.0
326,11,11.0
327,11,11.0
328,11,11.0
329,11,11.0
330,11,11.0
331,11,11.0
332,11,11.0
333,11,11.0
334,11,11.0
335,11,11.0
336,11,11.0
337,11,11.0
338,11,11.0
339,11,11.0
340,11,11.0
341,11,11.0
342,11,11.0
343,11,11.0
344,11,11.0
345,11,11.0
346,11,11.0
347,11,11.0
348,11,11.0
349,11,11.0
350,11,11.0
351,11,11.0
352,11,11.0
353,11,11.0
354,11,11.0
355,11,11.0
356,11,11.0
357,11,11.0
358,11,11.0
359,11,11.0
360,11,11.0
361,11,11.0
362,11,11.0
363,11,11.0
364,11,11.0
365,11,11.0
366,11,11.0
367,11,11.0
368,11,11.0
369,11,11.0
370,11,11.0
371,11,11.0
372,11,11.0
373,11,11.0
374,11,11.0
375,11,11.0
376,11,11.0
377,11,11.0
378,11,11.0
379,11,11.0
380,11,11.0
381,11,11.0
382,11,11.0
383,11,11.0
384,11,11.0
385,11,11.0
386,11,11.0
387,11,11.0
388,11,11.0
389,11,11.0
390,11,11.0
391,11,11.0
392,11,11.0
393,11,11.0
394,11,11.0
395,11,11.0
396,11,11.0
397,11,11.0
398,11,11.0
399,11,11.0
400,11,11.0
401,11,11.0
402,11,11.0
403,11,11.0
404,11,11.0
405,11,11.0
406,11,11.0
407,11,11.0
408,11,11.0
409,11,11.0
410,11,11.0
411,11,11.0
412,11,11.0
413,11,11.0
414,11,11.0
415,11,11.0
416,11,11.0
417,11,11.0
418,11,11.0
419,11,11.0
420,11,11.0
421,11,11.0
422,11,11.0
423,11,11.0
424,11,11.0
425,11,11.0
426,11,11.0
427,11,11.0
428,11,11.0
429,11,11.0
430,11,11.0
431,11,11.0
432,11,11.0
433,11,11.0
434,11,11.0
435,11,11.0
436,11,11.0
437,11,11.0
438,11,11.0
439,11,11.0
440,11,11.0
441,11,11.0
442,11,11.0
443,11,11.0
444,11,11.0
445,11,11.0
446,11,11.0
447,11,11.0
448,11,11.0
449,11,11.0
450,11,11.0
451,11,11.0
452,11,11.0
453,11,11.0
454,11,11.0
455,11,11.0
456,11,11.0
457,11,11.0
458,11,11.0
459,11,11.0
460,11,11.0
461,11,11.0
462,11,11.0
463,11,11.0
464,11,11.0
465,11,11.0
466,11,11.0
467,11,11.0
468,11,11.0
469,11,11.0
470,11,11.0
471,11,11.0
472,11,11.0
473,11,11.0
474,11,11.0
475,11,11.0
476,11,11.0
477,11,11.0
478,11,11.0
479,11,11.0
480,11,11.0
481,11,11.0
482,11,11.0
483,11,11.0
484,11,11.0
485,11,11.0
486,11,11.0
487,11,11.0
488,11,11.0
489,11,11.0
490,11,11.0
491,11,11.0
492,11,11.0
493,11,11.0
494,11,11.0
495,11,11.0
496,11,11.0
497,11,11.0
498,11,11.0
499,11,11.0
500,11,11.0
501,11,11.0
502,11,11.0
503,11,11.0
504,11,11.0
505,11,11.0
506,11,11.0
507,11,11.0
508,11,11.0
509,11,11.0
510,11,11.0
511,11,11.0
