epoch,alpha_used,island_id,n,y_mix_mean,delta_sun_mean,delta_plant_mean,delta_sun_std,delta_plant_std
0,0.5,0,376,0.6686887741088867,0.0012260613730177283,0.008085979148745537,0.0006270104204304516,0.00016195290663745254
0,0.5,1,136,0.6605730652809143,0.0010320114670321345,0.0,0.0005491063348017633,0.0
200,0.5,0,376,0.8702467083930969,0.37177813053131104,0.6892917156219482,0.20811857283115387,0.19300493597984314
200,0.5,1,136,0.17912045121192932,0.035927388817071915,0.0,0.021191198378801346,0.0
400,0.984488090082987,0,376,0.8469494581222534,0.5974968075752258,0.824381411075592,0.27674001455307007,0.28639310598373413
400,0.984488090082987,1,136,0.0224766805768013,0.0020040953531861305,0.0,0.001035362365655601,0.0
600,0.7147345744631439,0,376,0.8928723335266113,0.4935355484485626,0.7911002039909363,0.21413321793079376,0.2060782015323639
600,0.7147345744631439,1,136,0.10007025301456451,0.027129940688610077,0.0,0.018930643796920776,0.0
800,0.5930925400280664,0,376,0.9034820199012756,0.489366739988327,0.836579442024231,0.16290585696697235,0.15334080159664154
800,0.5930925400280664,1,136,0.06447384506464005,0.03079959563910961,0.0,0.02785097435116768,0.0
1000,0.5398078219022509,0,376,0.9120618104934692,0.4761761724948883,0.8674978613853455,0.14190801978111267,0.13534709811210632
1000,0.5398078219022509,1,136,0.042410269379615784,0.025688536465168,0.0,0.02600182220339775,0.0
1200,0.5153156695856473,0,376,0.9221314787864685,0.4753306806087494,0.8863563537597656,0.13820970058441162,0.133545383810997
1200,0.5153156695856473,1,136,0.03383794054389,0.02262011729180813,0.0,0.024356462061405182,0.0
1400,0.49437597405952843,0,376,0.8848685622215271,0.43337899446487427,0.8536766767501831,0.12405223399400711,0.12162645161151886
1400,0.49437597405952843,1,136,0.02938411384820938,0.020817356184124947,0.0,0.02344616688787937,0.0
1600,0.45620838867094243,0,376,0.8891947269439697,0.41993385553359985,0.8596307635307312,0.12038983404636383,0.11957411468029022
1600,0.45620838867094243,1,136,0.02776353247463703,0.020572548732161522,0.0,0.02412039041519165,0.0
1800,0.5053063062561683,0,376,0.9022890329360962,0.4656582176685333,0.8772900104522705,0.12726974487304688,0.12983635067939758
1800,0.5053063062561683,1,136,0.02341337688267231,0.017897291108965874,0.0,0.021585464477539062,0.0
2000,0.47865553492334106,0,376,0.8939253687858582,0.45302313566207886,0.8702059984207153,0.12198014557361603,0.1272823065519333
2000,0.47865553492334106,1,136,0.02216295897960663,0.01748313568532467,0.0,0.02180684171617031,0.0
