epoch,threshold_diff,threshold_prev,delta_attn_mass_6_island0,delta_err_abs_mean_diff_0_minus_1,pred_A,pred_B,pred_C
400,-0.066809487529099,0.1569372490048408,-0.0554118007421492,0.1796685994628384,-0.06652173672157406,-0.07543499790208386,-0.07643011439352185
600,0.0143738919869065,0.0901277614757418,-0.0627720840275288,-0.1264393678843015,-0.040618387080988236,-0.045621771897987815,-0.035226974502547775
800,-0.0375690124928951,0.1045016534626483,-0.0103001296520233,-0.0039452091879322,-0.014585342704507183,-0.009995892499384382,-0.01859315356037436
1000,-0.0114553943276404,0.0669326409697532,-0.0049916738644241,0.0212163641085459,-0.013758228070195874,-0.013321920992836888,-0.0126202709339036
1200,-0.0030763112008571,0.0554772466421127,-0.0030361730605364,0.0109920417368341,-0.008121604370389751,-0.008059136826036598,-0.005936551738398053
1400,-0.0022019036114215,0.0524009354412555,-0.0024201814085244,0.0045038424530626,-0.005765096609005649,-0.005939231123863778,-0.004443810825668066
1600,-0.0018868250772356,0.0501990318298339,-0.0020784139633179,-0.0005324923731176,-0.003911368366112972,-0.004290507757922524,-0.00323296435208734
1800,-0.0048813857138156,0.0483122067525982,-0.001617883797735,-0.0010624589008461,-0.0023106008935960595,-0.0027349962685532594,-0.002110637078119773
2000,-0.0009637428447604,0.0434308210387826,-0.0012583984062075,0.0005733471462714,-0.00077409944464207,-0.0012620530219784876,-0.0016965543505657581
