feature,corr_with_threshold,corr_with_mid_err,n_unique
y_mix_mean_diff_i0_minus_i1,-0.9965315487696945,-0.996531548845478,11
delta_plant_mean_i0,-0.9964918426854552,-0.9964918427531733,11
delta_plant_mean_diff_i0_minus_i1,-0.9964918426854552,-0.9964918427531733,11
y_mix_mean_i1,0.9935579804085604,0.9935579802303194,11
y_mix_mean_i0,-0.9624386653369071,-0.9624386660921939,11
y_sem_mean_i1,0.9604634978968895,0.960463498793804,11
attn_mass_3_5_i1,-0.9135246658551959,-0.9135246638596323,11
delta_sun_mean_i0,-0.9088704647994912,-0.9088704642371179,11
delta_sun_mean_diff_i0_minus_i1,-0.8944378426587262,-0.8944378417970492,11
y_sem_mean_i0,-0.8819624639941747,-0.8819624635044007,11
attn_mass_3_5_i0,-0.8671957130179644,-0.8671957110735915,11
attn_mass_0_2_i0,0.8314925859961518,0.8314925844324331,11
attn_mass_6_i1,0.8307957984337611,0.8307957965182544,11
attn_mean_6_i1,0.8307957984337611,0.8307957965182544,11
attn_mean_0_i1,0.8125683727736336,0.8125683711999306,11
attn_mass_0_2_i1,0.8104724011807553,0.810472399560727,11
attn_mean_2_i0,0.8062662309810147,0.8062662295023143,11
delta_ratio_sun_over_plant_i0,-0.7976529356893637,-0.7976529355983253,11
attn_mean_1_i0,0.7897984216731032,0.7897984201912257,11
attn_mass_6_i0,0.7705778268311194,0.7705778249302432,11
attn_mean_6_i0,0.7705778268311194,0.7705778249302432,11
y_mix_std_i1,-0.6829035938880709,-0.6829035964067713,11
attn_mean_3_i1,-0.6734761711650068,-0.6734761716578462,11
attn_mean_3_i0,-0.6355845936150317,-0.6355845930607336,11
attn_mean_5_i1,-0.5879816159990733,-0.5879816156620621,11
y_mix_std_i0,-0.5868176463805026,-0.5868176468941773,11
corr_y_mix_true_i0,-0.5193889415202418,-0.5193889389925227,11
delta_ratio_sun_over_plant_i1,-0.47915821297868905,-0.4791582169236114,11
delta_sun_mean_i1,-0.47915821297868866,-0.479158216923611,11
attn_mean_1_i1,0.439498121002928,0.4394981201348525,11
attn_mean_5_i0,-0.42290786329275537,-0.42290786295974314,11
attn_mean_4_i0,-0.3962860829835128,-0.39628608101553514,11
y_stat_mean_i1,0.3635013150183627,0.36350131644249367,11
attn_mean_4_i1,-0.35243469244015074,-0.35243468993180466,11
attn_mean_2_i1,0.2209415078035673,0.22094150727626322,11
y_stat_mean_i0,-0.21681497596935587,-0.21681497425472343,11
attn_mass_6_diff_i0_minus_i1,0.14487394564994588,0.14487394450731436,11
attn_mean_0_i0,-0.04103497162401283,-0.04103497159084003,11
attn_mass_3_5_diff_i0_minus_i1,-0.026088784166177152,-0.02608878396023808,11
attn_mass_0_2_diff_i0_minus_i1,-0.02441992106142925,-0.02441992086906038,11
